hhi,whi,hhi2,education,race,hispanic,experience,kidslt6,kids618,husby,region,whrswk
no,yes,no,16years,white,no,25.0,0,0,0.0,west,greater than 40.0
yes,yes,yes,12years,white,no,45.0,0,0,84.0,west,greater than 40.0
yes,no,yes,13-15years,white,no,17.0,2,1,33.0,other,between 35.0 and 40.0
no,yes,yes,12years,white,no,10.0,2,0,24.5,northcentral,between 0.0 and 35.0
yes,no,yes,13-15years,white,no,25.0,0,0,26.0,northcentral,greater than 40.0
no,yes,no,12years,white,no,22.0,0,1,15.0,south,greater than 40.0
no,yes,no,12years,white,no,4.0,1,0,11.0,south,between 35.0 and 40.0
no,no,no,13-15years,white,no,11.0,2,1,31.0,other,between 0.0 and 35.0
yes,no,yes,16years,white,no,16.0,1,2,0.0,south,between 0.0 and 35.0
yes,no,yes,16years,white,no,26.0,0,4,41.0,west,greater than 40.0
no,yes,no,12years,white,no,19.0,0,2,20.0,west,between 35.0 and 40.0
yes,no,yes,12years,white,yes,16.0,1,1,12.85,other,between 0.0 and 35.0
no,no,no,12years,white,no,42.0,0,0,0.0,northcentral,greater than 40.0
yes,no,yes,13-15years,white,no,45.0,0,0,0.0,other,between 0.0 and 35.0
yes,no,yes,12years,white,no,31.0,0,0,33.0,other,greater than 40.0
no,yes,no,12years,white,no,27.0,0,1,25.5,other,between 0.0 and 35.0
