hhi,whi,hhi2,education,race,hispanic,experience,kidslt6,kids618,husby,region,whrswk
yes,yes,yes,13-15years,white,no,25.0,0,1,38.0,south,between 0.0 and 35.0
yes,yes,yes,12years,white,no,18.0,1,0,29.0,northcentral,greater than 40.0
no,no,no,12years,white,yes,20.0,0,0,8.0,west,between 0.0 and 35.0
yes,yes,yes,16years,white,no,15.0,0,1,50.0,northcentral,between 0.0 and 35.0
no,yes,no,>16years,white,no,22.0,0,0,0.0,other,between 35.0 and 40.0
yes,yes,yes,13-15years,white,no,11.0,1,1,33.0,south,greater than 40.0
yes,no,yes,12years,white,no,40.0,0,0,61.0,northcentral,between 0.0 and 35.0
yes,yes,yes,13-15years,white,no,16.0,0,2,36.0,other,between 0.0 and 35.0
no,yes,no,12years,white,no,19.0,1,0,5.0,south,greater than 40.0
yes,yes,yes,16years,white,no,13.0,0,0,30.0,west,between 35.0 and 40.0
no,yes,yes,13-15years,white,no,17.0,0,1,39.0,northcentral,greater than 40.0
yes,yes,yes,12years,white,no,43.0,0,0,0.0,other,greater than 40.0
yes,yes,yes,13-15years,white,no,14.0,1,0,31.0,west,between 0.0 and 35.0
yes,yes,yes,12years,white,no,24.0,0,0,58.0,south,between 0.0 and 35.0
no,yes,yes,>16years,white,no,18.0,0,2,25.0,northcentral,between 35.0 and 40.0
yes,yes,yes,13-15years,white,no,12.0,1,1,41.0,other,between 0.0 and 35.0
yes,yes,yes,13-15years,white,no,20.0,0,0,49.0,west,greater than 40.0
yes,yes,yes,12years,white,no,34.0,0,0,7.0,south,between 0.0 and 35.0
no,yes,yes,13-15years,white,no,16.0,1,0,38.0,other,between 0.0 and 35.0
yes,yes,yes,13-15years,white,no,19.0,0,1,60.0,northcentral,between 0.0 and 35.0
yes,yes,yes,12years,white,no,26.0,0,0,32.0,south,greater than 40.0
no,yes,yes,>16years,white,no,21.0,0,0,0.0,west,between 35.0 and 40.0
yes,yes,yes,16years,white,no,15.0,0,0,56.0,other,between 0.0 and 35.0
yes,yes,yes,13-15years,white,no,18.0,1,1,42.0,northcentral,greater than 40.0
yes,yes,yes,12years,white,no,23.0,0,0,59.0,south,between 0.0 and 35.0
no,yes,yes,13-15years,white,no,20.0,1,0,37.0,west,between 0.0 and 35.0
yes,yes,yes,13-15years,white,no,17.0,0,1,48.0,other,between 0.0 and 35.0
yes,yes,yes,12years,white,no,28.0,0,0,8.0,south,greater than 40.0
yes,yes,yes,13-15years,white,no,16.0,0,2,35.0,northcentral,between 35.0 and 40.0
yes,yes,yes,16years,white,no,14.0,1,0,51.0,other,between 0.0 and 35.0
yes,yes,yes,13-15years,white,no,22.0,0,0,44.0,west,greater than 40.0
no,yes,yes,>16years,white,no,19.0,0,0,0.0,northcentral,between 35.0 and 40.0
