RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1023,15623984,Smith,645,Germany,Male,54,3,98765.43,1,1,1,125000.00,0
2045,15681234,Johnson,610,France,Female,37,4,134567.89,2,1,0,143210.34,0
3098,15792345,Williams,682,Spain,Male,50,6,120345.67,1,1,1,190000.00,1
4102,15713456,Brown,570,Germany,Female,29,2,84567.00,2,1,0,105432.21,0
5123,15654321,Jones,630,France,Male,41,5,0.00,1,0,1,132210.45,0
6187,15698765,Garcia,658,Spain,Female,33,3,109876.54,2,1,1,154321.67,1
7234,15765432,Miller,590,Germany,Male,47,7,132457.89,1,1,0,165432.10,0
8345,15627483,Davis,603,France,Female,39,2,115000.00,2,0,1,148765.43,0
9456,15734928,Rodriguez,677,Spain,Male,55,8,142300.21,1,1,0,175000.32,1
10567,15690876,Martinez,650,Germany,Female,28,1,87000.88,2,1,1,99000.99,0
11678,15701234,Hernandez,619,France,Male,62,9,156789.12,1,1,0,134500.50,1
12789,15677654,Lopez,664,Spain,Female,44,4,99876.45,1,1,1,172345.67,0
13890,15734567,Gonzalez,575,Germany,Male,35,3,125678.00,2,0,0,143210.00,0
14901,15633445,Wilson,601,France,Female,53,5,135000.33,1,1,1,159876.44,1
15012,15711223,Anderson,690,Spain,Male,60,8,145000.77,1,1,0,180123.56,0
16123,15688765,Thomas,635,Germany,Female,31,2,75000.25,2,0,1,112345.67,0
17234,15765412,Taylor,665,France,Male,48,6,158900.99,1,1,1,134567.89,1
18345,15699887,Moore,610,Spain,Female,40,3,102345.67,2,1,0,145678.90,0
19456,15722123,Jackson,635,Germany,Male,52,7,138900.50,1,1,1,160000.00,0
20567,15633221,White,658,France,Female,46,5,125432.87,2,0,0,148000.25,1
1001,15546789,Williams,710,France,Male,45,5,154327.54,2,1,0,120000.50,0
1002,15623890,Garcia,655,Spain,Female,32,7,0.00,1,0,1,95000.25,0
1003,15589234,Martin,600,France,Male,50,10,203456.80,2,1,0,134500.00,0
1004,15655678,Wright,720,Spain,Female,29,4,52345.67,1,1,1,75000.30,0
1005,15533456,Davis,590,France,Male,38,6,132000.00,2,0,0,54000.00,0
1006,15699876,Miller,680,Spain,Male,41,8,84567.89,1,1,1,112300.45,0
1007,15576543,Wilson,630,France,Female,26,3,10000.00,2,0,0,67000.00,0
1008,15644321,Taylor,700,Spain,Male,55,2,43210.10,1,1,0,85000.15,0
1009,15511223,Anderson,560,France,Male,39,9,0.00,2,1,1,110000.00,0
1010,15633445,Thomas,665,Spain,Female,47,1,98765.43,1,0,1,92000.89,0
1011,15578901,Moore,705,France,Male,33,5,150000.00,1,1,0,101234.56,0
1012,15644567,Jackson,575,Spain,Male,60,10,0.00,2,0,0,75000.00,0
1013,15566789,White,690,France,Female,54,3,65432.10,1,1,1,134000.00,0
1014,15611234,Harris,640,Spain,Male,22,7,22000.00,2,0,0,48000.50,0
1015,15555678,Thompson,675,France,Female,31,8,87000.87,1,1,1,99000.00,0
1016,15622345,Nguyen,610,Spain,Male,48,6,30000.20,2,0,0,65000.75,0
1017,15599887,Martinez,720,France,Female,29,4,125000.50,1,1,0,105000.10,0
1018,15678954,Robinson,685,Spain,Male,42,9,98000.00,2,1,1,112000.55,0
