"RowNumber","CustomerId","Surname","CreditScore","Geography","Gender","Age","Tenure","Balance","NumOfProducts","HasCrCard","IsActiveMember","EstimatedSalary","Exited"
1,15630421,"Ruiz",742,"Germany","Female",41,6,115456.23,2,1,1,110823.12,0
2,15781302,"Nguyen",618,"France","Male",29,3,37789.14,1,0,0,64321.98,1
3,15843985,"Garcia",804,"Spain","Female",55,9,201456.78,3,1,0,175623.45,0
4,15569316,"Kim",469,"Germany","Male",22,1,9432.11,1,0,1,38211.56,1
5,15682139,"Lopez",695,"France","Female",39,5,82321.46,2,1,1,90213.87,0
6,15735528,"Hall",529,"Spain","Male",48,7,134567.89,2,1,0,105671.23,1
7,15819374,"Washington",817,"Germany","Female",36,4,98562.34,1,0,1,120945.67,0
8,15582153,"Ross",622,"France","Male",27,2,34567.89,1,1,0,80321.12,1
9,15646391,"Jackson",751,"Spain","Female",51,8,163456.78,3,1,0,192839.54,0
10,15798216,"Miller",499,"Germany","Male",32,3,46789.14,1,0,1,65211.98,1
11,15865849,"Davis",688,"France","Female",45,6,114567.89,2,1,0,143217.65,0
12,15593427,"Hernandez",858,"Spain","Male",59,10,219876.54,3,1,1,201234.78,0
13,15650696,"Martin",675,"Germany","Female",38,5,94321.46,2,1,1,100934.87,0
14,15727559,"Thompson",548,"France","Male",25,2,21234.56,1,0,0,55123.78,1
15,15804922,"White",769,"Spain","Female",42,6,136789.01,2,1,1,130945.67,0
16,15574213,"Perez",634,"Germany","Male",30,3,48901.23,1,1,0,70321.12,1
17,15649885,"Lee",825,"France","Female",49,7,157896.54,3,1,0,173945.67,0
18,15721248,"Scott",582,"Spain","Male",28,2,32456.78,1,0,1,55321.98,1
19,15803611,"Torres",715,"Germany","Female",40,5,96789.14,2,1,1,120823.12,0
20,15595633,"Wong",591,"France","Male",26,2,19234.56,1,0,0,50321.12,1
21,15665199,"Brooks",794,"Spain","Female",53,8,184567.89,3,1,0,201671.23,0
22,15742662,"Allen",659,"Germany","Male",35,4,69211.46,2,1,1,110934.87,0
23,15815725,"Baker",539,"France","Female",31,3,49789.14,1,0,0,70321.12,1
24,15579948,"Cooper",788,"Spain","Male",44,6,129876.54,2,1,1,150945.67,0
25,15654511,"Rivera",683,"Germany","Female",39,5,85321.46,2,1,0,100934.87,0
26,15728964,"Walker",563,"France","Male",24,1,21234.56,1,0,1,40211.56,1
27,15807397,"Young",823,"Spain","Female",50,7,194567.89,3,1,1,181671.23,0
28,15588029,"Mitchell",609,"Germany","Male",33,3,46789.14,1,1,0,60321.12,1
29,15662496,"Bennett",775,"France","Female",46,6,136789.01,2,1,0,143217.65,0
30,15737963,"Carter",598,"Spain","Male",29,2,32456.78,1,0,1,55321.98,1
31,15813530,"Sanders",729,"Germany","Female",41,5,98562.34,2,1,0,120823.12,0
32,15596943,"Price",685,"France","Male",27,2,19234.56,1,0,0,50123.78,1
33,15666409,"Lewis",799,"Spain","Female",52,8,163456.78,3,1,1,171239.54,0
34,15740874,"Scott",589,"Germany","Male",36,4,69211.46,2,1,1,100934.87,0
35,15815437,"Fisher",683,"France","Female",45,6,114567.89,2,1,0,143217.65,0
36,15583159,"Diaz",625,"Spain","Male",30,3,48901.23,1,1,0,70321.12,1
37,15658625,"Nelson",795,"Germany","Female",51,7,157896.54,3,1,0,181945.67,0
38,15733292,"Hill",632,"France","Male",28,2,21234.56,1,0,1,50211.56,1
39,15809869,"Johnson",761,"Spain","Female",43,6,136789.01,2,1,1,130945.67,0
40,15594521,"Flores",581,"Germany","Male",26,2,19234.56,1,0,0,50123.78,1
41,15665098,"Wright",819,"France","Female",49,7,184567.89,3,1,0,201671.23,0
42,15737555,"Brown",667,"Spain","Male",35,4,69211.46,2,1,1,110934.87,0
43,15813418,"Jones",717,"Germany","Female",42,5,96789.14,2,1,0,120823.12,0
44,15582342,"Rodriguez",609,"France","Male",29,2,32456.78,1,0,1,55321.98,1
45,15654409,"Garcia",751,"Spain","Female",50,7,194567.89,3,1,1,181671.23,0
46,15727862,"Miller",593,"Germany","Male",32,3,46789.14,1,1,0,60321.12,1
47,15805635,"Wilson",827,"France","Female",53,8,136789.01,2,1,0,171239.54,0
48,15593459,"Moore",679,"Spain","Male",31,3,48901.23,1,1,0,70321.12,1
49,15662894,"Taylor",803,"Germany","Female",46,6,114567.89,2,1,0,143217.65,0
50,15738461,"Anderson",635,"France","Male",28,2,21234.56,1,0,1,50211.56,1
51,15814228,"Thomas",753,"Spain","Female",48,6,136789.01,2,1,1,130945.67,0
52,15585853,"Jackson",625,"Germany","Male",30,3,48901.23,1,1,0,70321.12,1
53,15660218,"White",785,"France","Female",51,7,157896.54,3,1,0,181945.67,0
54,15734985,"Harris",675,"Spain","Male",36,4,69211.46,2,1,1,100934.87,0
55,15811469,"Martin",719,"Germany","Female",43,5,96789.14,2,1,0,120823.12,0
56,15578567,"Thompson",609,"France","Male",27,2,19234.56,1,0,0,50123.78,1
57,15653432,"Gonzalez",799,"Spain","Female",52,8,163456.78,3,1,1,171239.54,0
58,15726995,"Martinez",629,"Germany","Male",33,3,46789.14,1,1,0,60321.12,1
59,15804958,"Robinson",811,"France","Female",50,7,184567.89,3,1,0,201671.23,0
60,15590981,"Lewis",692,"Spain","Male",31,3,48901.23,1,1,0,70321.12,1
61,15661046,"Bryant",745,"Germany","Female",47,6,114567.89,2,1,0,143217.65,0
62,15735713,"Russell",676,"France","Male",30,2,21234.56,1,0,1,50211.56,1
63,15808590,"Elliott",755,"Spain","Female",49,6,136789.01,2,1,1,130945.67,0
64,15577075,"Watson",633,"Germany","Male",29,2,19234.56,1,0,0,50123.78,1
65,15648338,"Stewart",797,"France","Female",53,8,157896.54,3,1,0,181945.67,0
66,15721901,"Bradley",661,"Spain","Male",35,4,69211.46,2,1,1,100934.87,0
67,15804074,"Alexander",725,"Germany","Female",42,5,96789.14,2,1,0,120823.12,0
68,15580593,"Rogers",601,"France","Male",26,2,19234.56,1,0,0,50123.78,1
69,15654854,"Reed",785,"Spain","Female",50,7,194567.89,3,1,1,181671.23,0
