RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1761,15784311,Kung,449,Spain,Male,30,7,129240.31,4,1,1,83277.11,1
1607,15618539,Waters,791,Spain,Female,20,4,84295.6,3,1,0,177270.78,0
739,15594361,Ross,822,Spain,Female,31,0,101601.6,2,0,1,143705.13,1
4388,15581691,Kelly,444,France,Male,29,5,121329.42,1,0,1,131835.04,1
5825,15690539,Lai,657,Spain,Male,33,5,130142.45,3,0,1,182625.62,0
3980,15753606,Pirozzi,617,Germany,Male,68,5,122554.23,1,0,0,183063.79,1
2424,15644622,Robertson,804,France,Male,19,1,132134.57,4,1,1,187881.39,1
5893,15753006,Williamson,603,Spain,Male,32,10,114105.03,2,0,0,143565.73,0
4554,15611057,French,719,Spain,Female,32,4,105094.85,2,0,0,170132.75,1
1415,15703278,Yeh,722,France,Female,25,8,143781.75,2,1,1,154793.57,0
7864,15791251,Hilton,717,Spain,Female,35,5,6699.43,4,0,1,116426.92,0
1131,15626464,Boyle,778,Spain,Female,35,6,99425.72,3,0,0,55940.1,1
3731,15646136,Welch,569,Germany,Male,45,8,150786.8,1,0,0,122852.8,0
7994,15622933,Bruny,625,Germany,Male,42,7,147711.95,1,1,1,109144.55,1
9964,15643593,Johnstone,570,Germany,Male,35,1,112064.25,1,0,0,143137.36,1
6516,15600604,Cheng,657,Germany,Male,52,2,151054.37,3,1,0,45956.85,0
7450,15697871,Harker,527,Germany,Male,36,8,164949.78,2,0,0,107358.45,0
7197,15602490,Palermo,508,Germany,Male,33,6,125695.88,4,1,1,13672.68,0
589,15735025,Morley,548,Germany,Male,31,2,142497.31,2,0,0,139736.99,1
152,15641445,T'ao,637,Spain,Male,35,3,103906.5,2,0,1,155669.11,0
2571,15693742,Dellucci,499,France,Female,35,1,105972.5,4,1,1,115608.92,0
8312,15580433,Fyodorova,678,France,Female,67,7,157997.83,3,1,1,166199.43,1
