RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
2876.9238,15639552.0,Sinclair,759.97076,Spain,Female,30.62495,9.0,0.0,2.0,1.0,1.0,31185.137,0.0
4489.626,15779262.0,Walker,755.5896,France,Male,26.518488,9.0,0.0,2.0,1.0,1.0,132612.52,0.0
1556.7814,15598367.0,Endrizzi,528.2347,France,Female,33.0,6.0,131841.81,2.0,1.0,1.0,23349.836,0.0
7209.9185,15598708.0,Johnson,696.07495,France,Male,47.747543,2.223575,128170.88,1.0,1.0,1.0,163902.39,0.0
4019.9795,15738495.0,Bellucci,768.3274,France,Female,46.780712,7.0,0.0,2.0,1.0,0.0,151552.19,0.0
6282.827,15651384.0,Chin,592.99976,France,Female,52.447777,3.0,0.0,1.0,1.0,1.0,25456.95,1.0
4926.3203,15658986.0,Pai,597.40045,Germany,Male,37.002113,5.0,148073.53,1.0,0.0,0.0,71770.805,0.0
7020.812,15789377.0,Pai,474.02457,France,Male,29.442667,1.0,0.0,2.0,1.0,0.0,146576.8,0.0
818.5174,15761638.0,Chin,777.4549,Spain,Female,47.00027,5.0,0.0,2.0,0.0,0.0,11276.606,0.0
1403.175,15630337.0,Yu,734.8834,France,Male,23.37417,2.0,0.0,2.0,1.0,0.0,131258.88,0.0
5116.363,15762000.0,Endrizzi,745.54156,Spain,Female,48.888298,6.0,0.0,2.0,1.0,0.0,93724.41,0.0
3602.1165,15579983.0,Milanesi,702.93274,France,Male,25.948982,4.0,0.0,2.0,1.0,1.0,127441.08,0.0
718.1542,15622652.0,Milanesi,574.9969,France,Female,30.043144,8.0,0.0,2.0,0.0,1.0,124952.54,0.0
5177.014,15631991.0,Clark,746.50244,France,Female,45.045914,5.0,97949.08,1.0,1.0,1.0,33398.73,1.0
8341.68,15628746.0,Cameron,702.18115,France,Female,29.223776,4.0,0.0,1.0,1.0,1.0,93902.19,1.0
6598.076,15760963.0,Bellucci,592.37946,France,Female,29.746246,7.0,124883.78,1.0,1.0,0.0,48902.25,0.0
2614.0493,15670248.0,Milanesi,719.15265,Spain,Male,46.929405,9.0,0.0,2.0,1.0,1.0,26183.678,0.0
4165.3745,15675720.0,Endrizzi,558.44934,France,Female,47.230186,6.0,127345.94,2.0,0.0,1.0,151952.78,0.0
8333.481,15604486.0,Johnson,723.4848,France,Female,39.85128,4.0,152683.98,1.0,1.0,1.0,79653.67,0.0
8477.709,15624144.0,Chin,671.7347,France,Male,47.036083,7.0,0.0,1.0,1.0,0.0,185812.48,0.0
8038.9614,15666097.0,McMillan,715.6495,Germany,Female,53.287136,9.0,137175.84,1.0,1.0,0.0,78145.04,1.0
8110.26,15784225.0,Bellucci,592.83246,Germany,Male,44.11476,5.0,94168.61,1.0,1.0,1.0,179372.73,1.0
2772.5583,15798338.0,Yu,594.10315,Germany,Male,27.773928,4.0,118096.7,1.0,1.0,0.0,185615.89,0.0
1136.5255,15615784.0,Johnson,696.68317,France,Female,50.33806,6.0,0.0,2.0,0.0,1.0,101348.484,0.0
8373.849,15592960.0,Johnson,727.1711,Germany,Female,34.0,3.960503,143376.97,1.0,1.0,1.0,150601.92,0.0
6665.749,15776351.0,Genovese,666.70575,Germany,Male,26.349731,9.0,136544.64,2.0,1.0,0.0,18905.377,0.0
1729.6156,15621538.0,Johnson,532.77155,Germany,Male,27.736155,7.0,96846.5,1.0,1.0,0.0,155951.19,0.0
3447.1768,15715221.0,Johnson,600.82574,France,Female,50.740345,1.0,126075.805,1.0,1.0,1.0,43555.188,1.0
5117.9956,15580995.0,Sinclair,758.7595,France,Male,42.333477,0.0,120417.586,2.0,1.0,0.0,11536.023,0.0
5900.9175,15605025.0,Clark,714.0683,France,Male,27.46781,4.0,0.0,2.0,1.0,1.0,139061.0,0.0
5582.058,15761886.0,Chin,850.0,Spain,Male,54.631886,7.0,0.0,1.0,0.0,0.0,178070.48,0.0
4879.215,15682750.0,Endrizzi,766.8434,France,Female,36.0,6.0,0.0,2.0,1.0,1.0,73609.88,0.0
3367.5044,15677017.0,Milanesi,546.42883,Germany,Male,32.819706,9.0,132589.92,1.0,1.0,0.0,141317.22,0.0
2683.4358,15654920.0,Johnson,549.8961,France,Female,31.261168,2.8003335,153125.05,1.0,1.0,0.0,108912.7,0.0
8596.319,15755430.0,H?,850.0,Germany,Female,31.10736,9.0,1301.3859,2.0,1.0,0.0,96362.49,0.0
6021.705,15760346.0,Endrizzi,761.24176,France,Female,34.038494,2.0,0.0,2.0,1.0,1.0,14675.445,0.0
5857.887,15774864.0,Endrizzi,724.89844,Spain,Female,26.12249,5.0,0.0,2.0,1.0,0.0,66494.43,0.0
2880.5269,15596578.0,Chin,510.30637,France,Male,36.680027,5.0,0.0,2.0,0.0,1.0,51486.617,0.0
9129.709,15761804.0,Clark,744.3798,Spain,Male,50.48231,6.0,0.0,1.0,1.0,0.0,95568.266,1.0
3516.2449,15722604.0,Pai,732.0611,Spain,Male,45.607185,7.0,110625.625,1.0,1.0,0.0,93261.39,0.0
7531.091,15758935.0,Johnson,576.85834,France,Male,37.0,4.0,18368.014,2.0,1.0,1.0,97923.59,1.0
1687.604,15784934.0,Cameron,500.8142,France,Female,39.516285,5.010158,107584.15,1.0,1.0,0.0,59384.547,0.0
6455.733,15628131.0,Johnson,644.2652,France,Female,38.349583,3.0,145728.97,2.0,1.0,0.0,82513.63,0.0
3299.5032,15594215.0,Johnson,796.33813,Germany,Female,34.12107,1.0,134598.44,2.0,0.0,0.0,66186.734,0.0
786.5839,15688538.0,Chin,605.8346,Spain,Female,45.586742,6.0,0.0,2.0,0.0,1.0,184623.5,1.0
5505.8833,15713861.0,Sinclair,641.949,France,Female,29.0,1.0,103690.766,1.0,1.0,0.0,58610.137,0.0
8526.487,15669672.0,Henderson,536.505,Germany,Male,42.0,0.0,124201.6,2.0,0.0,1.0,120025.305,1.0
