RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
2876,15639552,Sinclair,759,Spain,Female,30,9,0.0,2,1,1,31185.14,0
4489,15779262,Walker,755,France,Male,26,9,0.0,2,1,1,132612.52,0
1556,15598367,Endrizzi,528,France,Female,33,6,131841.81,2,1,1,23349.84,0
7209,15598708,Johnson,696,France,Male,47,2,128170.88,1,1,1,163902.39,0
4019,15738495,Bellucci,768,France,Female,46,7,0.0,2,1,0,151552.19,0
6282,15651384,Chin,592,France,Female,52,3,0.0,1,1,1,25456.95,1
4926,15658986,Pai,597,Germany,Male,37,5,148073.53,1,0,0,71770.8,0
7020,15789377,Pai,474,France,Male,29,1,0.0,2,1,0,146576.8,0
818,15761638,Chin,777,Spain,Female,47,5,0.0,2,0,0,11276.61,0
1403,15630337,Yu,734,France,Male,23,2,0.0,2,1,0,131258.88,0
5116,15762000,Endrizzi,745,Spain,Female,48,6,0.0,2,1,0,93724.41,0
3602,15579983,Milanesi,702,France,Male,25,4,0.0,2,1,1,127441.08,0
718,15622652,Milanesi,574,France,Female,30,8,0.0,2,0,1,124952.54,0
5177,15631991,Clark,746,France,Female,45,5,97949.08,1,1,1,33398.73,1
8341,15628746,Cameron,702,France,Female,29,4,0.0,1,1,1,93902.19,1
6598,15760963,Bellucci,592,France,Female,29,7,124883.78,1,1,0,48902.25,0
2614,15670248,Milanesi,719,Spain,Male,46,9,0.0,2,1,1,26183.68,0
4165,15675720,Endrizzi,558,France,Female,47,6,127345.94,2,0,1,151952.78,0
8333,15604486,Johnson,723,France,Female,39,4,152683.98,1,1,1,79653.67,0
8477,15624144,Chin,671,France,Male,47,7,0.0,1,1,0,185812.48,0
8038,15666097,McMillan,715,Germany,Female,53,9,137175.84,1,1,0,78145.04,1
8110,15784225,Bellucci,592,Germany,Male,44,5,94168.61,1,1,1,179372.73,1
2772,15798338,Yu,594,Germany,Male,27,4,118096.7,1,1,0,185615.89,0
1136,15615784,Johnson,696,France,Female,50,6,0.0,2,0,1,101348.48,0
8373,15592960,Johnson,727,Germany,Female,34,3,143376.97,1,1,1,150601.92,0
6665,15776351,Genovese,666,Germany,Male,26,9,136544.64,2,1,0,18905.38,0
1729,15621538,Johnson,532,Germany,Male,27,7,96846.5,1,1,0,155951.19,0
3447,15715221,Johnson,600,France,Female,50,1,126075.8,1,1,1,43555.19,1
5117,15580995,Sinclair,758,France,Male,42,0,120417.59,2,1,0,11536.02,0
5900,15605025,Clark,714,France,Male,27,4,0.0,2,1,1,139061.0,0
5582,15761886,Chin,850,Spain,Male,54,7,0.0,1,0,0,178070.48,0
4879,15682750,Endrizzi,766,France,Female,36,6,0.0,2,1,1,73609.88,0
3367,15677017,Milanesi,546,Germany,Male,32,9,132589.92,1,1,0,141317.22,0
2683,15654920,Johnson,549,France,Female,31,2,153125.05,1,1,0,108912.7,0
8596,15755430,H?,850,Germany,Female,31,9,1301.39,2,1,0,96362.49,0
6021,15760346,Endrizzi,761,France,Female,34,2,0.0,2,1,1,14675.44,0
5857,15774864,Endrizzi,724,Spain,Female,26,5,0.0,2,1,0,66494.43,0
2880,15596578,Chin,510,France,Male,36,5,0.0,2,0,1,51486.62,0
9129,15761804,Clark,744,Spain,Male,50,6,0.0,1,1,0,95568.27,1
3516,15722604,Pai,732,Spain,Male,45,7,110625.62,1,1,0,93261.39,0
7531,15758935,Johnson,576,France,Male,37,4,18368.01,2,1,1,97923.59,1
1687,15784934,Cameron,500,France,Female,39,5,107584.15,1,1,0,59384.55,0
6455,15628131,Johnson,644,France,Female,38,3,145728.97,2,1,0,82513.63,0
3299,15594215,Johnson,796,Germany,Female,34,1,134598.44,2,0,0,66186.73,0
786,15688538,Chin,605,Spain,Female,45,6,0.0,2,0,1,184623.5,1
5505,15713861,Sinclair,641,France,Female,29,1,103690.77,1,1,0,58610.14,0
8526,15669672,Henderson,536,Germany,Male,42,0,124201.6,2,0,1,120025.3,1
1094,15570899,King,777,France,Male,35,8,0.0,2,0,1,42775.43,0
1390,15581577,Clark,538,Spain,Male,60,9,0.0,2,1,1,179706.5,0
2335,15785606,Clark,612,Spain,Male,48,9,117690.75,1,1,0,148491.94,0
