"RowNumber","CustomerId","Surname","CreditScore","Geography","Gender","Age","Tenure","Balance","NumOfProducts","HasCrCard","IsActiveMember","EstimatedSalary","Exited"
1,15594321,"Ramos",591,"Spain","Female",41,6,90523.19,2,1,0,87621.34,0
2,15782113,"Jackson",842,"France","Male",28,2,130958.41,1,0,1,62315.68,0
3,15517384,"Patel",469,"Germany","Male",35,5,50132.11,2,1,1,94412.21,0
4,15642195,"Garcia",719,"Spain","Female",48,8,113019.85,2,1,0,132098.56,0
5,15819267,"Martin",628,"France","Male",29,3,80213.42,1,0,1,107013.49,0
6,15698251,"Harris",796,"Germany","Female",42,7,125098.76,2,1,0,94219.85,1
7,15565129,"Lee",542,"Spain","Male",32,4,95421.18,2,1,1,117831.35,0
8,15739428,"Hall",675,"France","Female",45,6,103189.22,1,0,0,121092.13,0
9,15681793,"Walker",493,"Germany","Male",25,2,75321.95,2,1,1,83129.52,0
10,15802145,"Young",854,"Spain","Female",50,9,145632.19,2,1,0,162091.28,0
11,15546987,"Allen",621,"France","Male",38,5,90132.87,1,0,1,151091.59,0
12,15713578,"King",712,"Germany","Female",43,7,107013.49,2,1,0,143098.52,0
13,15627653,"Wright",529,"Spain","Male",30,3,82113.89,2,1,1,100093.45,0
14,15845298,"Scott",778,"France","Female",46,8,135098.41,1,0,0,153021.19,0
15,15585314,"Torres",596,"Germany","Male",33,4,91254.29,2,1,1,124093.18,0
16,15762981,"Brooks",649,"Spain","Female",51,9,160213.58,2,1,0,171092.35,0
17,15642119,"Barnes",758,"France","Male",27,2,101321.79,1,0,1,91019.85,0
18,15519274,"Ross",485,"Germany","Female",44,6,95123.14,2,1,0,125091.28,0
19,15784325,"Frazier",703,"Spain","Male",36,5,111213.85,2,1,1,139085.21,0
20,15819329,"Morales",825,"France","Female",49,8,148213.41,1,0,0,165093.39,0
21,15565121,"Sanchez",592,"Germany","Male",31,3,80213.92,2,1,1,107092.58,0
22,15698268,"Hansen",762,"Spain","Female",40,7,125321.47,2,1,0,143091.62,1
23,15739439,"Taylor",676,"France","Male",26,2,75309.52,1,0,1,83109.32,0
24,15581711,"Anderson",494,"Germany","Female",45,6,103093.19,2,1,0,121092.13,0
25,15802151,"Thomas",858,"Spain","Male",50,9,155213.62,2,1,0,173091.32,0
26,15546993,"White",617,"France","Female",38,5,92109.35,1,0,1,139013.25,0
27,15713583,"Harris",709,"Germany","Male",43,7,111231.41,2,1,0,147093.18,0
28,15627658,"Lewis",526,"Spain","Female",30,3,83213.49,2,1,1,102093.33,0
29,15845299,"Scott",776,"France","Male",47,8,137213.29,1,0,0,161091.51,0
30,15585319,"Torres",596,"Germany","Female",52,9,162321.19,2,1,0,179091.49,0
31,15762984,"Brooks",648,"Spain","Male",28,2,103213.58,1,0,1,95093.35,0
32,15642122,"Barnes",754,"France","Female",41,6,108321.39,2,1,0,129091.42,0
33,15519279,"Ross",483,"Germany","Male",35,5,97123.14,2,1,1,121091.32,0
34,15784329,"Frazier",702,"Spain","Female",48,8,149213.41,1,0,0,167093.19,0
35,15819332,"Morales",821,"France","Male",29,3,82213.41,2,1,1,109091.85,0
36,15565124,"Sanchez",591,"Germany","Female",40,7,125231.19,2,1,0,151091.53,0
37,15698271,"Hansen",761,"Spain","Male",25,2,76213.92,1,0,1,83093.13,0
38,15739441,"Taylor",675,"France","Female",42,6,106321.32,2,1,0,133091.58,0
39,15581715,"Anderson",493,"Germany","Male",31,4,91109.35,2,1,1,115013.29,0
40,15802155,"Thomas",856,"Spain","Female",51,9,163213.62,2,1,0,181091.38,0
41,15546997,"White",616,"France","Male",39,5,97109.52,1,0,1,139013.29,0
42,15713587,"Harris",708,"Germany","Female",44,7,116231.19,2,1,0,155093.32,0
43,15627662,"Lewis",524,"Spain","Male",32,3,84309.35,2,1,1,105093.45,0
44,15845301,"Scott",775,"France","Female",46,8,141321.29,1,0,0,165091.51,0
45,15585323,"Torres",595,"Germany","Male",53,9,165213.19,2,1,0,183091.49,0
46,15762988,"Brooks",647,"Spain","Female",29,2,105213.41,1,0,1,96093.29,0
