RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
400,15646372,Outhwaite,616,France,Female,66,1,135842.41,1,1,0,183840.51,1
7248,15663194,Voronova,582,Germany,Female,40,3,110150.43,1,1,1,191757.65,1
6407,15637118,Burns,684,France,Male,33,4,140700.61,1,1,0,103557.93,0
883,15785519,May,565,France,Male,36,6,106192.1,1,1,0,149575.59,0
3566,15598700,Hysell,676,Spain,Female,30,5,0.0,2,0,1,157888.5,0
4286,15679968,Ting,623,France,Male,40,5,118788.57,1,1,0,192867.4,0
1180,15814032,Hsieh,807,Germany,Female,31,1,93460.47,2,0,0,172782.69,0
5449,15718912,Hsueh,608,Germany,Female,44,5,126147.84,1,0,1,132424.69,1
4245,15684908,Davidson,540,Germany,Male,64,1,91869.69,1,0,1,95421.0,0
5219,15781505,Giordano,685,France,Male,20,4,104719.94,2,1,0,38691.34,0
3977,15792180,Chiekwugo,566,Germany,Male,22,7,144954.75,2,1,0,102246.0,0
2131,15757568,Bogolyubov,704,France,Female,45,6,0.0,1,1,1,137739.45,0
5079,15732672,Stewart,743,Spain,Male,35,6,79388.33,1,1,1,193360.69,0
457,15747960,Eluemuno,733,France,Male,33,3,0.0,1,1,1,7666.73,0
5583,15596972,Brownlow,534,France,Male,38,3,0.0,1,0,0,143938.27,0
5176,15626322,Lees,699,Spain,Female,29,9,127570.93,2,1,0,164756.81,0
1951,15615456,Aleksandrova,680,France,Female,37,10,123806.28,1,1,0,81776.84,1
5373,15688973,Vinogradova,598,Spain,Female,39,5,0.0,2,1,1,83103.46,0
690,15720649,Ferdinand,641,France,Female,36,5,66392.64,1,1,0,31106.67,0
8853,15752097,Chiazagomekpere,708,Spain,Male,38,8,99640.89,1,1,0,12429.22,0
6526,15598157,Onyeorulu,728,France,Male,34,4,106328.08,1,1,0,88680.65,0
9822,15629793,Banks,652,Spain,Male,28,8,156823.7,2,1,0,198251.52,0
6489,15598097,Johnstone,550,France,Male,44,9,0.0,2,1,0,26257.01,0
6922,15625713,Lindeman,679,Spain,Female,39,7,91187.9,1,0,1,6075.36,0
1954,15675190,Chia,623,France,Male,21,10,0.0,2,0,1,135851.3,0
7635,15707681,Pokrovsky,501,Germany,Male,38,9,88977.39,2,0,1,133403.07,0
5637,15626679,Linger,584,France,Male,33,3,0.0,2,0,1,59103.13,0
7155,15659100,Lane,605,France,Male,33,9,128152.82,1,0,0,147822.81,0
8425,15775703,Lo,702,France,Male,26,2,71281.29,1,1,1,108747.12,1
6611,15596339,French,422,France,Male,54,3,140014.42,1,0,1,86350.97,0
2711,15766869,Uspenskaya,634,Germany,Male,37,1,89696.84,2,1,1,193179.88,0
8731,15634373,Yang,764,France,Male,30,5,0.0,2,0,1,105155.66,0
3202,15637593,Greco,722,France,Male,20,6,0.0,2,1,0,195486.28,0
4350,15623107,Chukwumaobim,686,Spain,Male,45,3,74274.87,3,1,0,64907.48,1
4139,15714355,Sinclair,775,Germany,Male,32,8,121669.23,1,0,1,125898.39,0
1885,15713479,Ozuluonye,656,France,Male,35,6,0.0,2,1,0,1485.27,0
8640,15654891,He,811,France,Male,30,6,0.0,2,1,1,180591.32,0
4486,15630580,Y?,751,Germany,Male,34,9,108513.25,2,1,1,27097.82,0
2495,15671917,Wade,666,France,Male,46,5,123873.19,1,1,1,177844.06,0
5948,15672798,O'Brien,656,France,Female,45,7,145933.27,1,1,1,199392.14,0
3037,15610403,Anderson,659,France,Male,43,1,106086.42,2,1,0,26900.63,0
5778,15642248,Ko,608,Spain,Male,66,8,123935.35,1,1,1,65758.19,0
3604,15772528,Mishin,750,France,Female,47,7,121376.15,2,1,0,54473.6,1
846,15592222,Lo,505,France,Male,49,7,80001.23,1,0,0,135180.11,0
543,15776223,Davide,597,France,Female,42,4,64740.12,1,1,1,106841.12,0
3725,15703541,Wang,772,Germany,Female,51,9,143930.92,1,0,1,46675.51,1
4188,15677785,Stevenson,656,Spain,Male,32,5,136963.12,1,1,0,133814.28,0
3680,15593897,Carr,650,Spain,Male,25,7,160599.06,2,1,1,28391.52,0
8900,15677939,Ch'eng,584,France,Female,41,3,0.0,2,1,1,160095.48,0
7968,15636812,Rose,583,France,Male,40,9,112701.04,1,0,0,29213.63,0
8486,15724269,Yao,670,France,Male,25,7,0.0,2,1,1,144723.38,0
6076,15781451,Buccho,504,France,Male,42,3,134936.97,2,0,0,135178.91,0
7341,15578722,Bradley,689,France,Male,39,4,0.0,2,1,0,196112.45,0
8226,15804142,Tan,670,Spain,Female,57,3,175575.95,2,1,0,99061.75,1
7247,15728010,Capon,485,France,Male,37,5,0.0,2,0,1,170226.47,0
9711,15624677,Marquez,543,Germany,Female,37,3,122304.65,2,0,0,33998.7,0
8291,15731267,Rizzo,797,France,Male,37,4,75263.7,1,1,0,85801.77,0
7138,15764226,Lu,630,Germany,Female,28,8,106425.75,1,1,1,20344.84,0
2965,15679760,Slattery,721,France,Male,46,1,115764.32,2,0,0,102950.79,0
7560,15696120,Wallace,701,Spain,Female,30,2,0.0,2,1,0,115650.63,0
2530,15621653,Rice,716,France,Female,29,10,87946.39,1,1,1,182531.74,0
7285,15706464,White,667,Spain,Male,35,4,97585.32,2,0,0,57213.46,0
5773,15663168,MacDonald,665,France,Male,35,8,110934.54,1,1,0,169287.99,0
1049,15645103,Su,812,Germany,Male,25,5,54817.55,1,1,0,131660.31,0
7046,15648069,Onyemachukwu,850,France,Female,36,6,0.0,2,1,1,190194.95,0
1961,15623647,Dellucci,655,Spain,Female,36,1,135515.76,1,1,0,86013.96,0
2531,15598086,Brown,624,France,Female,45,3,68639.57,1,1,0,168002.31,1
9049,15640855,T'ien,729,Germany,Male,40,5,113574.61,2,1,0,103396.08,0
7604,15712483,Chidi,608,Spain,Female,28,4,0.0,2,1,0,10899.63,1
6525,15743293,Waters,651,Germany,Female,35,1,163700.78,3,1,1,29583.48,1
238,15764866,Synnot,539,Germany,Female,43,3,116220.5,3,1,0,55803.96,1
4918,15681991,Walsh,542,France,Male,32,7,107871.72,1,1,0,125302.64,0
6480,15704160,Wan,648,Spain,Male,49,5,0.0,1,1,0,149946.43,1
1134,15706899,Ma,559,France,Male,34,4,0.0,2,1,1,66721.98,0
6977,15785488,Palmer,701,Spain,Female,39,9,0.0,2,1,1,110043.88,0
5902,15712930,Duncan,587,France,Male,42,1,0.0,1,0,0,123006.91,0
9058,15764153,Rowe,704,France,Female,33,0,130499.09,2,1,1,74804.36,0
4260,15664808,Nicoll,790,Spain,Female,37,3,0.0,3,0,0,98897.32,0
8841,15646969,Anayolisa,776,Spain,Male,33,2,0.0,2,1,1,176921.0,0
6966,15656188,Davis,584,Spain,Female,30,5,0.0,2,1,1,185201.58,0
9980,15692664,Diribe,677,France,Female,58,1,90022.85,1,0,1,2988.28,0
793,15707473,Summers,850,Germany,Female,48,6,111962.99,1,1,0,111755.8,0
1986,15627876,Pavlova,719,Spain,Female,47,9,116393.59,1,1,0,63051.32,1
5657,15736769,Lucchesi,663,France,Female,27,9,0.0,2,1,0,150850.29,0
8740,15615219,Obielumani,518,France,Male,59,5,138772.15,1,0,1,123872.0,0
7936,15587311,Dobbs,582,Spain,Male,33,6,0.0,2,0,1,72970.93,0
6098,15615050,Savage,575,Germany,Male,47,9,107915.94,2,1,1,63452.18,1
5908,15813862,Yevseyev,526,Spain,Male,66,7,132044.6,2,1,1,158365.89,0
7374,15716347,Griffin,663,Germany,Male,37,7,143625.83,2,0,1,176487.05,0
8129,15682928,Chiazagomekpere,695,Spain,Male,39,4,65521.2,1,1,1,1243.97,0
2979,15595917,Mackay,580,France,Female,35,1,102097.33,1,0,1,168285.85,0
8862,15761713,Johnstone,678,France,Female,43,7,178074.33,1,0,0,110405.9,0
9302,15583857,Siciliano,623,Spain,Female,43,4,123536.52,2,0,0,154908.52,0
6722,15715638,Ch'ang,824,Germany,Male,77,3,27517.15,2,0,1,2746.41,0
7843,15702416,Cecil,734,France,Male,43,7,107805.67,1,0,0,182505.68,0
5525,15654975,Wu,641,France,Female,53,0,123835.52,2,0,1,160110.65,0
8722,15689671,Packham,775,Spain,Male,27,4,0.0,1,1,1,40807.26,0
8432,15586752,Parkes,628,Germany,Male,33,8,152143.89,1,1,1,32174.03,0
9009,15776936,Whitworth,475,France,Male,40,7,160818.08,1,0,1,169642.13,1
8604,15702541,Fraser,551,France,Female,59,2,166968.28,1,1,0,159483.76,1
7175,15785339,H?,640,France,Female,50,9,117565.03,2,0,0,82559.77,0
3920,15759717,Mazzi,763,Spain,Female,39,7,0.0,2,1,0,19458.75,0
3139,15701537,Ignatiev,756,France,Male,60,2,0.0,1,1,1,166513.49,1
9417,15795370,Mazure,648,Germany,Male,37,6,131753.41,1,1,0,86894.67,0
9934,15765375,Butusov,797,France,Female,46,8,0.0,1,0,0,162668.33,0
5790,15726103,Tsou,689,Germany,Female,55,1,76296.81,1,1,0,42364.75,1
